id,title,category,solution,source
KB001,Office Wi-Fi troubleshooting,Network,"Check that Wi-Fi is enabled and airplane mode is off. Reconnect to the approved office SSID. If the problem continues, restart the network adapter and report the device name and location to IT.","Internal IT Knowledge Base"
KB002,VPN connection troubleshooting,Network,"Verify your internet connection, then restart the approved VPN client. Confirm that your account is active and MFA is working. Do not share your password or MFA code with support.","Internal IT Knowledge Base"
KB003,Laptop battery not charging,Hardware,"Check the charger and power outlet. Inspect the cable for visible damage. Try a known-good approved charger if available. If the battery remains unresponsive, raise a hardware service request.","Internal IT Knowledge Base"
KB004,Printer not printing,Hardware,"Check that the correct printer is selected, the printer has paper, and there are no visible error messages. Cancel stuck print jobs and retry. Contact IT if the queue remains blocked.","Internal IT Knowledge Base"
KB005,Application crash,Software,"Restart the application and check for approved updates. Record the application name, version, exact error message, and steps that reproduce the issue before contacting IT.","Internal IT Knowledge Base"
KB006,Password reset and locked account,Account & Access,"Use the organization's approved self-service password reset process. Never send passwords, recovery codes, or MFA codes to another person. If the account is still locked, contact the service desk.","Internal IT Knowledge Base"
KB007,Email sending problem,Email,"Check internet connectivity, mailbox capacity, recipient address, and attachment size. Restart the approved email client and retry. If the error persists, capture the exact error message.","Internal IT Knowledge Base"
KB008,Suspicious phishing email,Security,"Do not click links, open attachments, or reply. Use the organization's approved phishing-report mechanism. If you entered credentials, contact the security team immediately and follow the organization's incident-response procedure.","Internal IT Knowledge Base"
KB009,Possible malware infection,Security,"Disconnect the affected device from the network if your organization's incident procedure instructs you to do so. Do not delete evidence or install unapproved cleanup tools. Contact the security/IT team immediately.","Internal IT Knowledge Base"
KB010,Folder access request,Account & Access,"Provide the business reason, folder/resource name, and required access level through the approved access-request process. Access should be granted according to organizational policy.","Internal IT Knowledge Base"
KB011,Slow internet,Network,"Check whether the slowdown affects one device or multiple users. Restart the approved network connection and record approximate times and affected services. Report widespread impact to IT.","Internal IT Knowledge Base"
KB012,General IT issue,Other,"Provide the exact error message, affected application/device, steps already attempted, and when the problem started. IT support can use these details to investigate efficiently.","Internal IT Knowledge Base"
